When: 2025-11-06 11:08:11 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:18:53	 22479	 2185	3301	-64	 216.91	 0	-2 	0
2025-11-06 11:18:55	 22556	 2183	3294	-64	 150.12	 -3	1 	0
2025-11-06 11:18:56	 22591	 2128	3340	-64	 232.73	 0	0 	0
2025-11-06 11:18:57	 22633	 2153	3295	-64	 285.47	 1	-2 	0
2025-11-06 11:18:58	 22668	 2166	3088	-64	 269.65	 -1	-1 	0
2025-11-06 11:19:00	 22712	 2223	3050	-64	 280.20	 0	-5 	0
2025-11-06 11:19:05	 22914	 2959	2963	8	 3.87	 0	-1 	0
2025-11-06 11:19:06	 22955	 2959	2971	8	 7.38	 0	0 	0
2025-11-06 11:19:14	 23223	 3067	2971	0	 40.78	 1	0 	0
2025-11-06 11:19:15	 23258	 3182	3099	0	 17.93	 6	4 	0
2025-11-06 11:19:16	 23293	 3400	3196	0	 17.93	 3	1 	0
2025-11-06 11:19:17	 23328	 3511	3246	0	 90.00	 0	3 	0
2025-11-06 11:19:18	 23364	 3486	3258	0	 133.95	 -4	2 	0
2025-11-06 11:19:19	 23399	 3422	3358	16	 181.41	 -7	2 	0
2025-11-06 11:19:20	 23434	 3177	3377	96	 181.41	 -4	-1 	0
2025-11-06 11:19:21	 23469	 3142	3377	96	 256.99	 -1	-1 	0
2025-11-06 11:19:25	 23609	 3055	3258	96	 235.90	 -3	-4 	0
2025-11-06 11:19:26	 23644	 3030	3223	96	 351.91	 -1	-1 	0
2025-11-06 11:19:28	 23706	 3143	3327	103	 42.89	 5	4 	0
2025-11-06 11:19:29	 23741	 3224	3422	112	 62.23	 1	2 	0
2025-11-06 11:19:30	 23776	 3237	3445	112	 357.19	 0	0 	0
2025-11-06 11:19:31	 23815	 3343	3440	112	 27.07	 0	-1 	0
2025-11-06 11:19:32	 23852	 3353	3453	112	 90.35	 -1	4 	0
2025-11-06 11:19:33	 23887	 3359	3690	112	 88.59	 0	7 	13
2025-11-06 11:19:36	 23986	 2728	2951	40	 288.63	 2	-8 	15
2025-11-06 11:19:37	 24021	 2753	2862	40	 269.30	 0	-5 	15
2025-11-06 11:19:39	 24082	 2737	2848	40	 253.48	 -1	0 	15
2025-11-06 11:19:40	 24122	 2734	2802	40	 269.30	 -1	-2 	20
2025-11-06 11:19:49	 24449	 2735	2784	40	 299.18	 0	-2 	20
2025-11-06 11:19:52	 24557	 2733	2770	40	 172.62	 -3	0 	20
2025-11-06 11:19:53	 24592	 2540	2783	40	 172.62	 -7	0 	20
2025-11-06 11:19:54	 24627	 2449	2783	40	 272.81	 -1	0 	20
2025-11-06 11:20:01	 24880	 2526	2783	40	 4.22	 6	0 	20
2025-11-06 11:20:02	 24915	 2638	2783	40	 341.37	 0	0 	20
